date,pred,lower_50,upper_50,lower_80,upper_80,lower_90,upper_90,lower_95,upper_95
2026-10-04,368,258,531,186,739,152,897,129,1070
2026-10-11,340,237,494,170,693,139,844,117,1014
2026-10-18,317,219,462,157,651,127,798,107,963
2026-10-25,300,206,439,147,620,119,764,100,925
2026-11-01,289,198,425,141,602,114,744,95,903
2026-11-08,284,193,418,137,594,110,736,92,895
2026-11-15,282,191,417,135,595,109,737,91,895
2026-11-22,279,188,413,132,591,107,732,89,888
2026-11-29,275,184,407,129,582,104,721,86,874
2026-12-06,266,178,394,124,563,100,697,83,844
2026-12-13,254,169,376,117,540,95,668,78,808
2026-12-20,241,161,359,111,517,90,639,74,774
2026-12-27,232,155,347,107,504,86,622,70,756
2027-01-03,227,152,341,104,499,83,616,68,752
2027-01-10,230,154,346,105,509,84,627,69,769
2027-01-17,237,159,358,108,526,86,650,71,801
2027-01-24,251,168,377,114,552,90,686,75,847
2027-01-31,269,179,404,123,586,97,733,80,904
2027-02-07,293,195,438,133,632,105,794,88,977
2027-02-14,319,211,475,145,684,114,861,96,1056
2027-02-21,345,228,514,156,741,124,931,104,1140
2027-02-28,370,245,553,168,801,133,1004,112,1227
2027-03-07,395,262,593,180,862,143,1079,119,1315
2027-03-14,421,280,635,192,925,153,1157,128,1407
2027-03-21,455,302,686,208,1000,166,1253,138,1518
2027-03-28,497,330,750,227,1092,181,1371,150,1657
2027-04-04,550,365,830,251,1208,201,1518,166,1830
2027-04-11,616,409,929,281,1354,225,1696,185,2044
2027-04-18,696,462,1048,318,1530,254,1909,210,2301
2027-04-25,784,521,1178,358,1720,287,2139,236,2578
2027-05-02,871,579,1306,397,1902,318,2362,263,2849
2027-05-09,957,635,1432,437,2074,349,2577,288,3110
2027-05-16,1033,685,1546,472,2227,375,2771,311,3345
2027-05-23,1101,729,1649,502,2368,398,2948,330,3561
2027-05-30,1154,764,1733,526,2490,416,3098,344,3745
2027-06-06,1187,786,1787,539,2576,426,3202,353,3871
2027-06-13,1200,794,1807,543,2618,429,3250,355,3926
2027-06-20,1189,786,1790,535,2602,424,3234,351,3900
2027-06-27,1159,766,1746,520,2540,414,3168,342,3816
2027-07-04,1119,739,1689,502,2453,400,3075,330,3701
2027-07-11,1081,713,1635,485,2374,386,2988,318,3597
2027-07-18,1046,689,1591,470,2311,374,2913,308,3514
2027-07-25,1009,664,1546,454,2251,360,2836,297,3432
2027-08-01,964,634,1488,434,2176,343,2734,282,3319
2027-08-08,910,597,1411,409,2073,321,2600,265,3160
2027-08-15,845,553,1314,379,1938,297,2431,245,2955
2027-08-22,774,505,1204,345,1781,270,2241,222,2716
2027-08-29,701,456,1090,310,1620,243,2044,200,2471
2027-09-05,631,409,982,276,1467,217,1858,178,2242
2027-09-12,565,365,881,244,1324,192,1681,157,2031
2027-09-19,507,326,793,217,1196,171,1524,139,1847
2027-09-26,455,292,716,193,1082,152,1383,123,1683
2027-10-03,410,261,647,173,977,136,1253,110,1533
