date,pred,lower_50,upper_50,lower_80,upper_80,lower_90,upper_90,lower_95,upper_95
2026-10-04,263,185,376,136,509,112,612,95,714
2026-10-11,253,177,362,130,491,107,592,91,694
2026-10-18,236,164,339,119,468,98,565,82,663
2026-10-25,231,160,333,116,462,95,560,80,657
2026-11-01,239,166,345,121,473,99,577,84,677
2026-11-08,243,169,350,122,481,100,587,84,692
2026-11-15,237,163,342,117,478,96,583,81,689
2026-11-22,239,164,345,118,486,97,592,81,701
2026-11-29,257,177,370,127,515,104,627,87,744
2026-12-06,273,188,393,136,543,111,660,93,784
2026-12-13,276,190,397,136,554,112,673,93,798
2026-12-20,285,195,411,140,575,115,698,96,827
2026-12-27,314,216,452,156,624,128,759,107,898
2027-01-03,348,239,499,173,683,143,830,119,982
2027-01-10,369,254,529,183,730,150,886,126,1050
2027-01-17,391,268,562,193,780,159,947,132,1123
2027-01-24,434,298,624,215,862,177,1045,148,1240
2027-01-31,492,339,707,244,967,200,1171,168,1390
2027-02-07,537,371,773,265,1063,218,1286,183,1528
2027-02-14,574,396,831,282,1156,230,1400,193,1662
2027-02-21,635,437,921,311,1284,254,1555,212,1845
2027-02-28,721,497,1045,353,1447,288,1750,241,2075
2027-03-07,792,548,1148,388,1591,316,1924,265,2279
2027-03-14,829,573,1205,405,1686,329,2043,275,2423
2027-03-21,876,602,1275,426,1790,346,2172,288,2579
2027-03-28,955,656,1389,465,1932,378,2345,315,2786
2027-04-04,1020,703,1482,499,2053,406,2491,338,2957
2027-04-11,1033,710,1502,505,2101,410,2553,341,3034
2027-04-18,1036,706,1507,504,2122,409,2587,339,3082
2027-04-25,1067,726,1552,518,2170,423,2647,351,3162
2027-05-02,1091,747,1586,533,2201,436,2688,362,3210
2027-05-09,1061,726,1542,519,2154,424,2637,351,3147
2027-05-16,1005,683,1461,489,2063,400,2533,331,3028
2027-05-23,975,661,1420,472,2002,387,2462,322,2949
2027-05-30,956,651,1390,463,1951,380,2400,316,2876
2027-06-06,902,616,1311,438,1847,357,2280,297,2735
2027-06-13,824,561,1202,399,1702,324,2113,271,2546
2027-06-20,761,518,1118,366,1576,298,1964,250,2383
2027-06-27,720,492,1059,346,1483,281,1852,235,2252
2027-07-04,677,463,995,325,1394,263,1745,219,2123
2027-07-11,622,423,918,298,1295,240,1628,200,1985
2027-07-18,571,387,849,271,1205,218,1517,182,1858
2027-07-25,538,363,802,253,1142,203,1439,169,1764
2027-08-01,514,347,767,241,1095,193,1381,159,1692
2027-08-08,483,325,724,226,1040,180,1313,149,1611
2027-08-15,447,298,676,207,981,165,1239,137,1524
2027-08-22,422,280,639,193,937,154,1183,127,1453
2027-08-29,410,271,619,187,912,149,1149,121,1407
2027-09-05,395,261,597,180,881,143,1110,117,1359
2027-09-12,369,242,561,167,832,133,1048,110,1284
2027-09-19,346,226,527,155,783,125,987,102,1209
2027-09-26,336,221,511,151,754,121,950,99,1162
2027-10-03,330,218,501,150,732,120,921,98,1125
