date,pred,lower_50,upper_50,lower_80,upper_80,lower_90,upper_90,lower_95,upper_95
2026-10-04,49,29,83,17,135,13,181,10,233
2026-10-11,54,31,92,19,151,14,205,11,265
2026-10-18,59,34,103,20,169,15,231,11,300
2026-10-25,65,36,113,21,188,16,257,12,336
2026-11-01,70,39,123,23,206,17,282,13,370
2026-11-08,74,41,132,24,223,18,305,13,399
2026-11-15,78,43,139,25,236,18,322,14,422
2026-11-22,80,44,144,26,245,19,336,14,439
2026-11-29,82,45,148,27,252,19,347,15,451
2026-12-06,84,46,152,27,260,20,358,15,466
2026-12-13,87,48,158,28,270,20,371,16,484
2026-12-20,91,50,166,29,283,21,388,16,510
2026-12-27,97,54,176,31,300,23,411,17,543
2027-01-03,103,57,188,33,320,24,436,18,580
2027-01-10,109,61,199,35,339,25,461,19,614
2027-01-17,114,63,208,37,354,27,481,20,639
2027-01-24,117,65,214,38,365,27,494,21,654
2027-01-31,118,65,216,38,367,28,500,21,656
2027-02-07,118,65,216,39,366,28,501,21,654
2027-02-14,117,65,215,39,364,28,500,21,649
2027-02-21,116,64,214,38,362,28,498,21,645
2027-02-28,115,64,212,38,359,27,495,20,642
2027-03-07,114,63,209,38,358,27,493,20,640
2027-03-14,113,63,207,37,356,27,489,20,638
2027-03-21,111,61,204,37,351,26,481,20,631
2027-03-28,108,60,198,35,343,25,468,19,618
2027-04-04,104,57,191,34,330,24,450,18,598
2027-04-11,99,54,183,32,315,23,429,18,573
2027-04-18,94,51,173,30,299,22,408,17,547
2027-04-25,89,49,164,28,284,20,388,16,521
2027-05-02,85,46,156,27,270,19,372,15,500
2027-05-09,82,44,150,26,260,19,360,14,483
2027-05-16,78,43,144,25,251,18,350,14,468
2027-05-23,76,41,140,24,243,17,339,13,453
2027-05-30,73,40,135,23,235,17,329,13,439
2027-06-06,70,39,131,22,227,16,317,12,423
2027-06-13,68,37,126,22,220,16,305,12,408
2027-06-20,66,36,122,21,212,15,295,11,394
2027-06-27,64,35,119,20,206,15,287,11,383
2027-07-04,62,34,115,20,201,14,280,11,373
2027-07-11,61,33,113,19,197,14,276,10,367
2027-07-18,61,33,111,19,194,14,273,10,362
2027-07-25,60,33,110,19,192,14,271,10,359
2027-08-01,60,32,109,19,191,13,269,10,356
2027-08-08,59,32,109,19,189,13,265,10,352
2027-08-15,58,32,108,18,187,13,261,10,347
2027-08-22,58,32,107,18,186,13,257,10,343
2027-08-29,57,31,107,18,185,13,255,10,340
2027-09-05,58,31,107,18,186,13,256,10,340
2027-09-12,58,32,109,19,189,13,260,10,345
2027-09-19,60,33,111,19,195,14,269,10,353
2027-09-26,62,34,115,20,202,14,280,10,366
2027-10-03,64,35,119,21,210,15,293,11,382
