date,pred,lower_50,upper_50,lower_80,upper_80,lower_90,upper_90,lower_95,upper_95
2026-10-04,250,166,381,115,543,92,680,75,822
2026-10-11,230,152,352,105,505,83,636,68,774
2026-10-18,213,141,327,96,473,76,597,62,731
2026-10-25,198,130,304,88,443,70,560,57,690
2026-11-01,185,121,284,82,416,65,525,53,649
2026-11-08,173,113,265,76,391,60,492,49,609
2026-11-15,163,105,249,71,369,56,463,46,571
2026-11-22,155,99,237,68,351,53,440,44,540
2026-11-29,150,96,229,65,338,51,423,43,516
2026-12-06,147,94,225,64,332,50,415,42,504
2026-12-13,147,94,225,64,331,50,414,42,502
2026-12-20,149,96,229,65,336,51,420,42,510
2026-12-27,152,98,234,66,344,53,432,43,526
2027-01-03,155,101,239,68,351,54,441,44,542
2027-01-10,157,102,242,69,355,55,450,45,554
2027-01-17,159,103,244,70,359,56,457,45,564
2027-01-24,159,103,244,70,360,56,459,46,567
2027-01-31,158,103,244,70,360,56,460,46,567
2027-02-07,159,103,245,71,363,56,463,46,569
2027-02-14,160,104,247,71,367,56,468,46,573
2027-02-21,163,106,252,72,375,57,477,46,584
2027-02-28,168,109,260,74,389,58,494,47,606
2027-03-07,176,114,274,77,409,60,519,49,640
2027-03-14,187,120,290,81,435,63,553,51,685
2027-03-21,200,128,312,86,468,67,596,54,741
2027-03-28,213,136,334,91,502,71,641,58,800
2027-04-04,226,144,356,96,535,75,686,61,856
2027-04-11,239,152,377,102,567,79,730,65,909
2027-04-18,249,158,395,106,593,82,766,67,951
2027-04-25,257,163,410,109,612,85,792,69,984
2027-05-02,264,167,422,112,628,88,814,71,1013
2027-05-09,272,173,434,115,647,90,836,73,1045
2027-05-16,279,178,446,118,666,92,858,74,1075
2027-05-23,288,183,459,121,688,95,882,76,1107
2027-05-30,299,190,476,126,717,98,915,79,1144
2027-06-06,310,197,491,130,744,102,947,81,1179
2027-06-13,320,203,507,134,771,105,980,84,1212
2027-06-20,329,209,522,138,795,107,1012,87,1246
2027-06-27,339,215,539,142,817,110,1045,89,1284
2027-07-04,348,220,553,145,835,113,1072,91,1319
2027-07-11,354,224,564,147,847,114,1091,92,1347
2027-07-18,356,225,567,148,848,114,1095,92,1361
2027-07-25,351,221,558,145,834,112,1077,90,1347
2027-08-01,339,214,539,140,808,108,1041,86,1307
2027-08-08,323,203,513,132,771,102,991,82,1243
2027-08-15,303,190,481,124,728,96,931,77,1164
2027-08-22,281,176,448,115,680,89,868,71,1079
2027-08-29,261,164,417,107,635,83,808,66,998
2027-09-05,243,153,390,100,595,77,757,62,930
2027-09-12,229,144,368,94,561,73,713,59,876
2027-09-19,218,137,351,90,534,69,681,56,839
2027-09-26,210,131,338,86,513,67,656,54,814
2027-10-03,203,127,327,83,495,65,636,53,795
